epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.621,1.77933,2.62237,0.95295,0.96422,0.19579,0.21514,0.11351,1.58041,2.44159,0.90584,0.000411111,0.000411111,0.000411111
2,666.707,1.61731,1.39695,0.89842,0.70605,0.2221,0.23076,0.12161,1.56636,1.30154,0.90736,0.000663878,0.000663878,0.000663878
3,969.853,1.67141,1.33718,0.90361,0.72668,0.24895,0.23835,0.12378,1.60493,1.25108,0.90918,0.000751644,0.000751644,0.000751644
4,1280.06,1.56673,1.23665,0.89374,0.95314,0.21506,0.24769,0.13624,1.48561,1.16648,0.89014,0.0005075,0.0005075,0.0005075
5,1540.86,1.51053,1.2145,0.88239,0.96567,0.21309,0.24778,0.14301,1.44447,1.12092,0.88926,0.00026,0.00026,0.00026
