epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2763,1.23736,4.27985,0.89525,0.00432,0.03532,0.00473,0.00287,0.87589,4.20175,0.84597,6.666e-05,6.666e-05,6.666e-05
2,109.328,1.05844,3.69999,0.86347,0.0095,0.07827,0.03956,0.0218,0.99999,4.13074,0.84092,0.00014157,0.00014157,0.00014157
3,168.117,1.22182,2.94427,0.86456,0.01168,0.11762,0.06022,0.0327,1.08517,4.05085,0.8445,0.000213401,0.000213401,0.000213401
4,226.951,1.13773,2.18722,0.87347,0.01469,0.209,0.07044,0.03671,1.1252,3.9539,0.84714,0.000282152,0.000282152,0.000282152
5,284.131,1.06203,1.72732,0.86121,0.02253,0.28714,0.10341,0.06165,1.13473,3.51526,0.85317,0.000347823,0.000347823,0.000347823
6,342.711,1.08992,1.68479,0.88146,0.0235,0.28778,0.13586,0.08899,1.1686,3.23897,0.85967,0.000410415,0.000410415,0.000410415
7,402.427,1.11645,1.54744,0.85862,0.0235,0.28778,0.13586,0.08899,1.1686,3.23897,0.85967,0.000469926,0.000469926,0.000469926
8,459.745,1.15693,1.58753,0.86752,0.02376,0.32796,0.15635,0.09979,1.21574,3.01031,0.86408,0.000526358,0.000526358,0.000526358
9,517.107,1.06174,1.63538,0.87626,0.97142,0.0322,0.17396,0.10881,1.09736,2.81997,0.84986,0.000579711,0.000579711,0.000579711
10,573.286,1.01104,1.56658,0.86453,0.97142,0.0322,0.17396,0.10881,1.09736,2.81997,0.84986,0.000629984,0.000629984,0.000629984
11,638.823,1.13601,1.50093,0.86581,0.98049,0.06209,0.1838,0.11817,0.99262,2.5811,0.84752,0.000677177,0.000677177,0.000677177
12,694.452,0.99164,1.62803,0.88479,0.98049,0.06209,0.1838,0.11817,0.99262,2.5811,0.84752,0.00072129,0.00072129,0.00072129
13,752.37,1.01911,1.45087,0.8501,0.96536,0.14765,0.21153,0.14248,1.0459,2.19475,0.8525,0.000762324,0.000762324,0.000762324
14,808.541,1.06885,1.44235,0.8809,0.96536,0.14765,0.21153,0.14248,1.0459,2.19475,0.8525,0.000800278,0.000800278,0.000800278
15,868.226,1.00298,1.42033,0.86006,0.96214,0.17823,0.20076,0.13489,1.13531,1.60825,0.86712,0.000803031,0.000803031,0.000803031
