epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.269,1.77933,2.62237,0.95295,0.96422,0.19579,0.21514,0.11351,1.58041,2.44159,0.90584,0.000411111,0.000411111,0.000411111
2,442.589,1.61857,1.39468,0.8992,0.71725,0.23025,0.2346,0.12855,1.56002,1.23755,0.91229,0.000826139,0.000826139,0.000826139
3,621.847,1.61007,1.28533,0.90458,0.67672,0.27338,0.24264,0.13916,1.45027,1.16256,0.89461,0.00123952,0.00123952,0.00123952
4,946.819,1.57259,1.24924,0.89556,0.69326,0.24842,0.23967,0.13795,1.44252,1.17271,0.88777,0.00124257,0.00124257,0.00124257
5,1308.39,1.49833,1.1782,0.88541,0.81623,0.26527,0.27883,0.16126,1.37437,1.04127,0.87778,0.0012401,0.0012401,0.0012401
6,1625.38,1.48728,1.14691,0.87529,0.87743,0.25227,0.27213,0.15181,1.41667,1.06658,0.88206,0.00123763,0.00123763,0.00123763
7,1908.51,1.51686,1.1429,0.87698,0.79601,0.25328,0.26974,0.14399,1.56515,1.13311,0.88859,0.00123515,0.00123515,0.00123515
8,2157.5,1.48952,1.09054,0.87345,0.91524,0.25595,0.31436,0.17242,1.36654,1.02138,0.86865,0.00123268,0.00123268,0.00123268
9,2303.44,1.44814,1.04468,0.86147,0.90056,0.25708,0.32856,0.19861,1.32048,0.9726,0.86935,0.0012302,0.0012302,0.0012302
10,2438.64,1.38436,1.01186,0.86789,0.63688,0.34862,0.37909,0.21935,1.326,0.94102,0.86576,0.00122773,0.00122773,0.00122773
11,2568.82,1.41622,0.98659,0.86235,0.73285,0.37382,0.41342,0.23481,1.34003,0.89868,0.8687,0.00122525,0.00122525,0.00122525
