epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2283,1.75524,4.49878,0.93912,0.00025,0.00134,0.00012,5e-05,1.3583,4.28427,0.86551,6.666e-05,6.666e-05,6.666e-05
2,33.0275,1.42616,4.10963,0.90791,0.0011,0.00671,0.00136,0.00044,1.32587,4.25195,0.8611,0.000115833,0.000115833,0.000115833
3,45.6234,1.56943,3.8051,0.90436,0.00253,0.01611,0.00854,0.00344,1.38795,4.21195,0.86277,0.000134209,0.000134209,0.000134209
4,58.1318,1.41977,3.36893,0.87127,0.00277,0.01745,0.01211,0.00481,1.40331,4.17725,0.86185,0.000121788,0.000121788,0.000121788
5,70.9354,1.43543,3.2085,0.86814,0.00243,0.01477,0.0115,0.00452,1.40692,4.09896,0.86304,7.85699e-05,7.85699e-05,7.85699e-05
